pid,pod.id,dry.date,poll.status,length.dry,tot.num.seeds,num.m.seeds,notes
162,09,coll.date,unmarked,42.04,54,54,
162,10,coll.date,unmarked,49.43,53,53,
164,01,coll.date,pollinated,43.99,41,41,
164,02,coll.date,pollinated,43.11,54,54,
164,03,coll.date,pollinated,40.66,47,47,
164,04,coll.date,unmarked,51.04,57,57,
164,05,coll.date,pollinated,46.17,51,51,
164,06,coll.date,pollinated,47.25,30,30,
164,07,coll.date,pollinated,51.56,58,58,
164,08,coll.date,pollinated,55.47,50,50,
164,09,coll.date,pollinated,48.41,56,56,
164,10,coll.date,unmarked,36.14,8,8,
166,01,coll.date,unmarked,53.61,62,62,
166,02,coll.date,unmarked,62.27,71,71,
166,03,coll.date,unmarked,49.71,30,30,
166,04,coll.date,unmarked,46.12,47,47,
166,05,coll.date,unmarked,55.94,56,56,
166,06,coll.date,unmarked,46.31,38,38,
166,07,coll.date,unmarked,52.79,80,80,
166,08,coll.date,unmarked,50.42,52,52,
166,09,coll.date,unmarked,59.09,70,70,
166,10,coll.date,pollinated,60.08,59,59,
168,01,coll.date,unmarked,58.82,39,39,
168,02,coll.date,deformed,50.4,31,31,
168,03,coll.date,unmarked,58.58,76,76,
168,04,coll.date,unmarked,43.34,45,45,
168,05,coll.date,unmarked,48.07,27,27,
168,06,coll.date,unmarked,50.12,60,60,
168,07,coll.date,unmarked,52.89,36,36,
168,08,coll.date,unmarked,59.96,79,79,
168,09,coll.date,unmarked,63.67,86,86,
168,10,coll.date,unmarked,61.29,85,85,
178,09,09/22/2021,pollinated,45.01,40,40,wet
178,13,col.date,pollinated,38.99,35,35,
178,14,col.date,pollinated,39.32,19,19,
178,15,col.date,pollinated,37.91,33,33,
180,01,col.date,pollinated,44.07,57,44,"seed coats all coming off, 6 sprouted 9/24"
180,02,col.date,pollinated,50.29,59,41,
182,01,col.date,deformed,38.52,37,24,
182,02,col.date,pollinated,52.22,43,43,
182,03,col.date,pollinated,41.08,39,39,extra seeds in the bag
182,04,col.date,unmarked,52.96,65,59,wet
184,02,col.date,bees,37.93,31,31,
190,01,col.date,unmarked,40.76,23,23,
190,02,col.date,unmarked,48.11,53,53,
190,03,col.date,unmarked,42.24,40,40,
190,04,col.date,unmarked,43.77,34,34,
190,05,col.date,unmarked,46.48,57,57,
190,06,col.date,unmarked,40.44,17,17,
190,07,col.date,unmarked,36.69,18,18,
192,01,col.date,unmarked,63.43,59,59,
192,02,col.date,unmarked,45.21,13,13,
192,03,col.date,unmarked,59.17,51,51,
192,04,col.date,unmarked,66.01,50,50,
192,05,col.date,unmarked,68.91,52,52,
192,06,col.date,unmarked,58.57,57,57,
192,07,col.date,unmarked,38.15,3,3,
194,06,col.date,unmarked,46.52,44,44,
300,01,col.date,unmarked,46.93,28,28,
300,02,col.date,unmarked,48.77,17,17,
300,03,col.date,unmarked,43.26,18,18,
302,01,coll.date,deformed,31.75,26,26,
302,02,coll.date,unmarked,26.26,11,9,
